vm_id,site_id,cpu_rate,report_ts
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591545600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591545720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591545840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591545960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591546080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591546200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591546320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591546440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591546560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591546680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591546800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591546920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591547040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591547160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591547280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591547400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591547520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591547640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591547760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591547880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591548000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591548120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591548240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591548360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591548480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591548600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591548720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591548840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591548960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591549080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591549200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591549320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591549440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591549560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591549680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591549800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591549920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591550040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591550160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591550280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591550400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591550520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591550640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591550760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591550880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591551000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591551120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591551240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591551360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591551480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591551600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591551720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591551840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591551960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591552080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591552200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591552320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591552440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591552560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591552680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591552800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591552920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591553040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591553160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591553280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591553400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591553520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591553640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591553760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591553880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591554000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591554120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591554240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591554360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591554480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591554600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591554720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591554840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591554960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591555080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591555200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591555320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591555440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591555560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591555680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591555800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591555920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591556040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591556160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591556280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591556400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591556520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591556640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591556760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591556880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591557000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591557120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591557240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591557360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591557480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591557600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591557720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591557840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591557960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591558080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591558200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591558320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591558440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591558560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591558680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591558800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591558920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591559040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591559160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591559280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591559400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591559520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591559640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591559760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591559880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591560000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591560120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591560240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591560360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591560480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591560600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591560720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591560840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591560960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591561080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591561200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591561320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591561440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591561560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591561680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591561800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591561920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591562040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591562160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591562280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591562400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591562520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591562640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591562760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591562880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591563000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591563120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591563240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591563360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591563480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591563600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591563720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591563840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591563960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591564080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591564200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591564320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591564440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591564560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591564680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591564800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591564920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591565040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591565160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591565280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591565400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591565520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591565640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591565760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591565880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591566000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591566120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591566240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591566360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591566480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591566600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591566720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591566840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591566960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591567080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591567200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591567320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591567440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591567560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591567680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591567800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591567920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591568040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591568160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591568280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591568400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591568520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591568640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591568760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591568880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591569000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591569120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591569240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591569360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591569480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591569600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591569720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591569840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591569960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591570080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591570200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591570320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591570440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591570560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591570680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591570800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591570920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591571040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591571160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591571280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591571400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591571520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591571640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591571760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591571880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591572000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591572120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591572240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591572360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591572480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591572600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591572720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591572840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591572960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591573080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591573200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591573320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591573440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591573560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591573680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591573800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591573920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591574040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591574160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591574280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591574400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591574520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591574640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591574760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591574880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591575000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591575120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591575240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591575360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591575480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591575600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591575720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591575840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591575960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591576080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591576200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591576320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591576440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591576560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591576680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591576800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591576920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591577040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591577160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591577280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591577400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591577520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591577640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591577760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591577880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591578000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591578120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591578240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591578360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591578480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591578600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591578720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591578840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591578960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591579080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591579200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591579320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591579440
